asset_id,asset_title,asset_type,description,format_type,owner_division,owner_email,front_end_url,resource_url,source_catalog,source_group,data_category,update_frequency,objective,tags,geo_coverage,created_date,last_updated
"MED-090","คู่มือการบูรณาการเนื้อหาเรื่องการเปลี่ยนแปลงสภาพภูมิอากาศในหลักสูตรการศึกษา ระดับการศึกษาปฐมวัย","Knowledge Asset","ผู้จัดทำ: ดร.นงรัตน์ อิสโร | ปีที่เผยแพร่: 2565 | หน่วยงานเจ้าของสื่อ: กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/9778/","https://www.dcce.go.th/media/9778/?download_file=1&file_id=9779","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-091","คู่มือประเมินเมืองสิ่งแวดล้อมยั่งยืน 68","Knowledge Asset","ผู้แต่ง: กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม | เดือน-ปี ที่เผยแพร่: 7-8-2568 | ครั้งที่พิมพ์: 1 | หน่วยงานเจ้าของสื่อ: กองส่งเสริมการมีส่วนร่วมต่อการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/9534/","https://www.dcce.go.th/media/9534/?download_file=1&file_id=9535","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-092","รายงานสถานการณ์การเปลี่ยนแปลงสภาพภูมิอากาศ ของประเทศไทย ปี 2567","Knowledge Asset","ผู้แต่ง: กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม | เดือน-ปี ที่เผยแพร่: 15-7-2568 | ครั้งที่พิมพ์: 1 | หน่วยงานเจ้าของสื่อ: กองยุทธศาสตร์และความร่วมมือระหว่างประเทศ","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8553/","https://www.dcce.go.th/media/8553/?download_file=1&file_id=9108","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-093","Climate Change A-Z Challenge | รู้จัก “Greenhouse Gases หรือก๊าซเรือนกระจก” ตัวการ “โลกร้อน”","Knowledge Asset","ผู้แต่ง: กรมการเปลี่ยนแปลงสภาพภูมิอากาศและสิ่งแวดล้อม | วัน-เดือน-ปีที่เผยแพร่: 03 กรกฎาคม 2568 | เนื้อหา Infongraphic: https://www.dcce.go.th/8314/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8318/","https://www.dcce.go.th/wp-content/uploads/2025/07/Climate-Change-A-Z-Challenge-Greenhouse-Gases.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-094","ผลการติดตามมาตรการลดก๊าซเรือนกระจก สาขาการจัดการของเสียชุมชนและน้ำเสียอุตสาหกรรม (Waste)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8306/","https://www.dcce.go.th/wp-content/uploads/2025/07/5.-Waste-02.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-095","มาตรการการลดก๊าซเรือนกระจก สาขาการจัดการของเสียชุมชนและน้ำเสียอุตสาหกรรม (Waste)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8305/","https://www.dcce.go.th/wp-content/uploads/2025/07/5.-Waste-01.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-096","มาตรการการลดก๊าซเรือนกระจกและผลการติดตาม สาขาเกษตร (Agriculture)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8304/","https://www.dcce.go.th/wp-content/uploads/2025/07/4.-Agriculture.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-097","ผลการติดตามมาตรการลดก๊าซเรือนกระจก สาขากระบวนการทางอุตสาหกรรมและการใช้ผลิตภัณฑ์ (Industrial Processes and Product Use : IPPU)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8303/","https://www.dcce.go.th/wp-content/uploads/2025/07/3.-IPPU-02.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-098","มาตรการการลดก๊าซเรือนกระจก สาขากระบวนการทางอุตสาหกรรมและการใช้ผลิตภัณฑ์ (Industrial Processes and Product use : IPPU)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8302/","https://www.dcce.go.th/wp-content/uploads/2025/07/3.-IPPU-01.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-099","ผลการติดตามมาตรการลดก๊าซเรือนกระจก สาขาคมนาคมขนส่ง (Transport)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8301/","https://www.dcce.go.th/wp-content/uploads/2025/07/2.-Transport-02.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-100","มาตรการการลดก๊าซเรือนกระจก สาขาคมนาคมขนส่ง (Transport)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8300/","https://www.dcce.go.th/wp-content/uploads/2025/07/2.-Transport-01.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
"MED-101","ผลการติดตามมาตรการลดก๊าซเรือนกระจก สาขาพลังงาน (Energy)","Knowledge Asset","ลิงก์ Content: https://www.dcce.go.th/8255/","E-book Reader","กลุ่มประชาสัมพันธ์และสื่อสารสิ่งแวดล้อม","","https://www.dcce.go.th/media/8299/","https://www.dcce.go.th/wp-content/uploads/2025/07/1.-Energy-02.jpg","Sitemap (DCCE Website)","คลังสื่อสิ่งพิมพ์","ข้อมูลสาธารณะ","ไม่มีการปรับปรุง","","","ประเทศ","",""
